id,city,timestamp,temperature,humidity,wind_speed,pm10,pm2_5,nitrogen_dioxide,ozone,hour,day,month,weekday
1,Ahmedabad,2025-11-16 00:16:38.567400+05:30,20.2,46.0,3.5,35.85,34.75,26.85,72.0,0,16,11,Sunday
2,Bengaluru,2025-11-16 00:16:38.376559+05:30,20.2,88.0,2.888888888888889,44.85,43.15,36.95,53.0,0,16,11,Sunday
3,Bhopal,2025-11-16 00:16:38.737303+05:30,18.0,28.0,2.0,56.95,50.35,20.45,76.0,0,16,11,Sunday
4,Chennai,2025-11-16 00:16:38.355079+05:30,27.0,84.0,5.611111111111111,59.25,50.05,8.05,113.0,0,16,11,Sunday
5,Dehradun,2025-11-16 00:16:38.785387+05:30,11.4,55.0,2.1944444444444446,53.05,51.85,34.55,105.0,0,16,11,Sunday
6,Delhi,2025-11-16 00:16:38.371701+05:30,16.3,68.0,1.805555555555556,84.45,70.95,63.65,45.0,0,16,11,Sunday
7,Hyderabad,2025-11-16 00:16:38.360206+05:30,18.2,68.0,1.3888888888888888,54.05,51.85,36.05,71.0,0,16,11,Sunday
8,Indore,2025-11-16 00:16:38.658841+05:30,16.0,55.0,1.6944444444444442,49.05,46.35,29.25,66.0,0,16,11,Sunday
9,Jaipur,2025-11-16 00:16:38.576009+05:30,16.1,42.0,1.805555555555556,56.95,53.95,57.15,34.0,0,16,11,Sunday
10,Kolkata,2025-11-16 00:16:38.368360+05:30,22.3,69.0,3.194444444444444,141.05,136.85,47.45,74.0,0,16,11,Sunday
11,Lucknow,2025-11-16 00:16:38.595162+05:30,14.4,94.0,1.3055555555555556,120.05,113.55,51.25,57.0,0,16,11,Sunday
12,Mumbai,2025-11-16 00:16:38.339761+05:30,26.3,51.0,2.388888888888889,68.65,65.15,20.05,230.0,0,16,11,Sunday
13,Patna,2025-11-16 00:16:38.601339+05:30,16.0,68.0,2.305555555555556,95.35,87.95,40.45,57.0,0,16,11,Sunday
14,Pune,2025-11-16 00:16:38.533828+05:30,17.1,49.0,1.6944444444444442,57.65,55.05,47.75,70.0,0,16,11,Sunday
15,Surat,2025-11-16 00:16:38.760518+05:30,21.0,45.0,3.5,73.95,71.35,40.25,79.0,0,16,11,Sunday
16,Ahmedabad,2025-11-16 01:08:55.292705+05:30,20.3,43.0,3.5,35.85,34.75,26.85,72.0,1,16,11,Sunday
17,Bengaluru,2025-11-16 01:08:55.130109+05:30,20.2,88.0,2.888888888888889,44.85,43.15,36.95,53.0,1,16,11,Sunday
18,Bhopal,2025-11-16 01:08:55.514945+05:30,18.1,28.0,2.0,56.95,50.35,20.45,76.0,1,16,11,Sunday
19,Chennai,2025-11-16 01:08:55.154035+05:30,27.0,84.0,5.611111111111111,59.25,50.05,8.05,113.0,1,16,11,Sunday
20,Dehradun,2025-11-16 01:08:55.556854+05:30,11.4,55.0,2.1944444444444446,53.05,51.85,34.55,105.0,1,16,11,Sunday
21,Delhi,2025-11-16 01:08:55.112473+05:30,15.3,72.0,1.805555555555556,84.45,70.95,63.65,45.0,1,16,11,Sunday
22,Hyderabad,2025-11-16 01:08:55.168748+05:30,18.2,68.0,1.3888888888888888,54.05,51.85,36.05,71.0,1,16,11,Sunday
23,Indore,2025-11-16 01:08:55.362091+05:30,16.3,55.0,1.6944444444444442,49.05,46.35,29.25,66.0,1,16,11,Sunday
24,Jaipur,2025-11-16 01:08:55.363290+05:30,16.4,45.0,1.805555555555556,56.95,53.95,57.15,34.0,1,16,11,Sunday
25,Kolkata,2025-11-16 01:08:55.135630+05:30,22.2,69.0,3.194444444444444,141.05,136.85,47.45,74.0,1,16,11,Sunday
26,Lucknow,2025-11-16 01:08:55.317446+05:30,13.3,100.0,1.3055555555555556,120.05,113.55,51.25,57.0,1,16,11,Sunday
27,Mumbai,2025-11-16 01:08:55.101320+05:30,25.2,51.0,2.388888888888889,68.65,65.15,20.05,230.0,1,16,11,Sunday
28,Patna,2025-11-16 01:08:55.632396+05:30,17.4,63.0,2.305555555555556,95.35,87.95,40.45,57.0,1,16,11,Sunday
29,Pune,2025-11-16 01:08:56.308568+05:30,17.1,49.0,1.6944444444444442,57.65,55.05,47.75,70.0,1,16,11,Sunday
30,Surat,2025-11-16 01:08:55.503824+05:30,21.0,45.0,3.5,73.95,71.35,40.25,79.0,1,16,11,Sunday
31,Ahmedabad,2025-11-16 02:10:50.909442+05:30,19.4,49.0,3.6944444444444446,34.85,33.65,24.65,71.0,2,16,11,Sunday
32,Bengaluru,2025-11-16 02:10:50.771397+05:30,19.3,94.0,2.888888888888889,45.65,43.65,33.15,55.0,2,16,11,Sunday
33,Bhopal,2025-11-16 02:10:51.084496+05:30,14.7,35.0,2.111111111111111,58.45,51.65,20.55,73.0,2,16,11,Sunday
34,Chennai,2025-11-16 02:10:50.805972+05:30,26.1,89.0,5.5,58.85,49.95,7.35,114.0,2,16,11,Sunday
35,Dehradun,2025-11-16 02:10:51.211491+05:30,11.2,55.0,2.111111111111111,54.45,53.35,38.45,87.0,2,16,11,Sunday
36,Delhi,2025-11-16 02:10:50.710975+05:30,14.2,77.0,2.0,83.95,69.55,58.05,43.0,2,16,11,Sunday
37,Hyderabad,2025-11-16 02:10:50.768484+05:30,16.2,82.0,1.3888888888888888,55.35,52.85,36.55,66.0,2,16,11,Sunday
38,Indore,2025-11-16 02:10:50.990732+05:30,15.6,49.0,2.111111111111111,50.75,47.85,28.65,61.0,2,16,11,Sunday
39,Jaipur,2025-11-16 02:10:50.989373+05:30,15.1,44.0,1.6944444444444442,57.75,54.95,56.55,29.0,2,16,11,Sunday
40,Kolkata,2025-11-16 02:10:50.763512+05:30,21.4,73.0,3.194444444444444,147.55,143.35,47.35,64.0,2,16,11,Sunday
41,Lucknow,2025-11-16 02:10:50.969002+05:30,12.3,100.0,1.5,131.25,124.75,56.85,41.0,2,16,11,Sunday
42,Mumbai,2025-11-16 02:10:50.703812+05:30,25.0,51.0,2.805555555555556,67.25,63.25,19.55,205.0,2,16,11,Sunday
43,Patna,2025-11-16 02:10:50.984395+05:30,15.0,77.0,2.388888888888889,96.35,89.05,37.75,54.0,2,16,11,Sunday
44,Pune,2025-11-16 02:10:50.886881+05:30,16.6,51.0,1.5,57.05,54.75,43.65,66.0,2,16,11,Sunday
45,Surat,2025-11-16 02:10:51.086738+05:30,20.5,46.0,3.8055555555555554,71.15,68.85,38.65,75.0,2,16,11,Sunday
46,Ahmedabad,2025-11-16 03:08:44.028594+05:30,19.2,46.0,3.888888888888889,33.45,32.25,20.15,75.0,3,16,11,Sunday
47,Bengaluru,2025-11-16 03:08:43.849004+05:30,19.2,88.0,3.1111111111111107,46.35,44.25,26.35,63.0,3,16,11,Sunday
48,Bhopal,2025-11-16 03:08:44.202051+05:30,12.0,54.0,2.111111111111111,59.15,52.05,19.45,73.0,3,16,11,Sunday
49,Chennai,2025-11-16 03:08:43.823209+05:30,26.1,89.0,5.611111111111111,56.25,47.85,6.25,116.0,3,16,11,Sunday
50,Dehradun,2025-11-16 03:08:44.233994+05:30,11.0,54.0,2.1944444444444446,53.75,52.65,41.45,67.0,3,16,11,Sunday
51,Delhi,2025-11-16 03:08:43.814705+05:30,14.1,77.0,1.805555555555556,83.25,68.85,49.15,47.0,3,16,11,Sunday
52,Hyderabad,2025-11-16 03:08:43.820668+05:30,16.2,77.0,1.5,57.85,55.05,35.05,67.0,3,16,11,Sunday
53,Indore,2025-11-16 03:08:44.066062+05:30,15.2,51.0,2.388888888888889,52.15,49.05,26.05,59.0,3,16,11,Sunday
54,Jaipur,2025-11-16 03:08:44.052762+05:30,15.2,44.0,1.805555555555556,56.95,54.45,51.05,30.0,3,16,11,Sunday
55,Kolkata,2025-11-16 03:08:43.817298+05:30,20.1,78.0,3.194444444444444,149.35,145.25,45.15,57.0,3,16,11,Sunday
56,Lucknow,2025-11-16 03:08:44.416747+05:30,12.1,100.0,1.611111111111111,138.25,131.75,60.75,29.0,3,16,11,Sunday
57,Mumbai,2025-11-16 03:08:43.844003+05:30,24.1,57.0,3.1111111111111107,66.75,62.75,19.75,174.0,3,16,11,Sunday
58,Patna,2025-11-16 03:08:44.076455+05:30,15.1,77.0,2.388888888888889,96.75,89.35,33.05,55.0,3,16,11,Sunday
59,Pune,2025-11-16 03:08:44.050263+05:30,16.2,53.0,1.3888888888888888,52.85,50.95,33.55,71.0,3,16,11,Sunday
60,Surat,2025-11-16 03:08:44.238175+05:30,20.0,47.0,3.8055555555555554,69.35,66.95,36.15,74.0,3,16,11,Sunday
61,Ahmedabad,2025-11-16 04:10:23.721268+05:30,18.4,49.0,3.888888888888889,31.85,30.65,16.15,79.0,4,16,11,Sunday
62,Bengaluru,2025-11-16 04:10:23.446432+05:30,19.3,88.0,2.888888888888889,47.15,44.75,20.15,71.0,4,16,11,Sunday
63,Bhopal,2025-11-16 04:10:23.832066+05:30,12.1,54.0,2.1944444444444446,58.55,51.65,17.95,73.0,4,16,11,Sunday
64,Chennai,2025-11-16 04:10:23.466705+05:30,26.0,89.0,5.611111111111111,51.95,44.15,5.15,117.0,4,16,11,Sunday
65,Dehradun,2025-11-16 04:10:23.889997+05:30,10.9,52.0,2.1944444444444446,49.95,49.15,42.85,50.0,4,16,11,Sunday
66,Delhi,2025-11-16 04:10:23.468632+05:30,14.3,77.0,1.3888888888888888,81.15,67.95,41.15,50.0,4,16,11,Sunday
67,Hyderabad,2025-11-16 04:10:23.472215+05:30,15.0,82.0,1.5,60.95,57.85,32.75,69.0,4,16,11,Sunday
68,Indore,2025-11-16 04:10:23.716922+05:30,14.2,55.0,2.5,52.15,48.95,23.35,58.0,4,16,11,Sunday
69,Jaipur,2025-11-16 04:10:23.683291+05:30,14.1,47.0,1.805555555555556,55.05,52.45,45.35,32.0,4,16,11,Sunday
70,Kolkata,2025-11-16 04:10:23.489510+05:30,20.2,78.0,3.194444444444444,147.95,143.85,41.85,54.0,4,16,11,Sunday
71,Lucknow,2025-11-16 04:10:23.718536+05:30,12.3,100.0,1.5,138.65,132.65,61.35,22.0,4,16,11,Sunday
72,Mumbai,2025-11-16 04:10:23.475969+05:30,23.1,61.0,2.0,61.85,58.55,17.35,119.0,4,16,11,Sunday
73,Patna,2025-11-16 04:10:23.690702+05:30,15.3,77.0,2.388888888888889,96.55,88.65,28.65,56.0,4,16,11,Sunday
74,Pune,2025-11-16 04:10:23.648022+05:30,16.0,54.0,1.611111111111111,47.95,46.05,24.55,76.0,4,16,11,Sunday
75,Surat,2025-11-16 04:10:23.885871+05:30,19.7,48.0,3.611111111111111,67.45,65.15,34.05,72.0,4,16,11,Sunday
76,Ahmedabad,2025-11-16 05:09:18.265422+05:30,17.1,52.0,4.111111111111112,30.15,28.95,13.35,81.0,5,16,11,Sunday
77,Bengaluru,2025-11-16 05:09:18.036121+05:30,18.3,94.0,3.305555555555556,48.55,45.65,15.45,78.0,5,16,11,Sunday
78,Bhopal,2025-11-16 05:09:18.483032+05:30,13.6,36.0,2.305555555555556,57.55,50.75,16.35,73.0,5,16,11,Sunday
79,Chennai,2025-11-16 05:09:18.069799+05:30,26.3,84.0,6.111111111111111,47.55,40.45,4.15,118.0,5,16,11,Sunday
80,Dehradun,2025-11-16 05:09:18.516746+05:30,10.7,51.0,2.1944444444444446,44.15,43.55,41.85,36.0,5,16,11,Sunday
81,Delhi,2025-11-16 05:09:18.062177+05:30,13.4,82.0,1.5,78.85,66.95,35.05,51.0,5,16,11,Sunday
82,Hyderabad,2025-11-16 05:09:18.041175+05:30,15.1,82.0,2.0,63.45,60.25,29.65,72.0,5,16,11,Sunday
83,Indore,2025-11-16 05:09:18.336927+05:30,14.3,55.0,2.694444444444444,51.45,47.85,20.95,56.0,5,16,11,Sunday
84,Jaipur,2025-11-16 05:09:18.304007+05:30,13.3,54.0,1.611111111111111,52.65,49.95,40.75,32.0,5,16,11,Sunday
85,Kolkata,2025-11-16 05:09:18.065757+05:30,19.4,83.0,3.194444444444444,145.65,141.45,36.95,54.0,5,16,11,Sunday
86,Lucknow,2025-11-16 05:09:18.322990+05:30,12.3,94.0,1.3055555555555556,133.55,127.95,56.45,22.0,5,16,11,Sunday
87,Mumbai,2025-11-16 05:09:18.066990+05:30,24.3,50.0,3.611111111111111,69.75,66.55,21.95,125.0,5,16,11,Sunday
88,Patna,2025-11-16 05:09:18.321977+05:30,15.2,82.0,2.388888888888889,97.75,89.35,25.35,57.0,5,16,11,Sunday
89,Pune,2025-11-16 05:09:18.277547+05:30,15.6,55.0,1.805555555555556,44.25,42.25,18.65,79.0,5,16,11,Sunday
90,Surat,2025-11-16 05:09:18.503776+05:30,19.5,49.0,3.611111111111111,65.55,63.25,32.95,68.0,5,16,11,Sunday
91,Ahmedabad,2025-11-16 07:56:03.998696+05:30,16.3,55.0,4.194444444444445,29.85,28.45,9.15,84.0,7,16,11,Sunday
92,Bengaluru,2025-11-16 07:56:03.786667+05:30,18.3,94.0,3.5,51.75,48.15,8.35,90.0,7,16,11,Sunday
93,Bhopal,2025-11-16 07:56:04.118667+05:30,11.4,54.0,2.388888888888889,56.15,50.05,12.85,74.0,7,16,11,Sunday
94,Chennai,2025-11-16 07:56:03.809671+05:30,26.4,89.0,6.805555555555555,43.15,36.05,2.55,118.0,7,16,11,Sunday
95,Dehradun,2025-11-16 07:56:04.213428+05:30,13.0,51.0,2.0,32.05,31.85,36.55,15.0,7,16,11,Sunday
96,Delhi,2025-11-16 07:56:03.738499+05:30,12.1,88.0,1.6944444444444442,74.65,66.55,25.95,52.0,7,16,11,Sunday
97,Hyderabad,2025-11-16 07:56:03.773826+05:30,16.1,77.0,1.8888888888888888,68.35,64.65,22.35,81.0,7,16,11,Sunday
98,Indore,2025-11-16 07:56:04.030995+05:30,13.1,67.0,3.0,51.85,48.25,16.35,54.0,7,16,11,Sunday
99,Jaipur,2025-11-16 07:56:04.008607+05:30,14.4,47.0,1.1111111111111112,49.15,46.05,32.05,34.0,7,16,11,Sunday
100,Kolkata,2025-11-16 07:56:03.789086+05:30,20.2,78.0,3.305555555555556,134.95,131.25,26.15,60.0,7,16,11,Sunday
101,Lucknow,2025-11-16 07:56:04.020377+05:30,13.2,88.0,1.5,119.55,114.75,40.85,30.0,7,16,11,Sunday
102,Mumbai,2025-11-16 07:56:03.771611+05:30,25.1,41.0,4.5,66.55,63.95,25.75,92.0,7,16,11,Sunday
103,Patna,2025-11-16 07:56:04.029644+05:30,16.4,72.0,2.1944444444444446,100.95,92.35,20.25,59.0,7,16,11,Sunday
104,Pune,2025-11-16 07:56:03.932127+05:30,15.6,59.0,1.8888888888888888,40.55,38.85,10.25,84.0,7,16,11,Sunday
105,Surat,2025-11-16 07:56:04.207071+05:30,18.8,51.0,3.8055555555555554,63.25,61.15,32.25,60.0,7,16,11,Sunday
106,Ahmedabad,2025-11-16 09:07:48.393643+05:30,19.0,46.0,5.5,31.15,29.45,8.05,84.0,9,16,11,Sunday
107,Bengaluru,2025-11-16 09:07:48.165484+05:30,20.2,83.0,3.3888888888888884,52.15,48.15,6.95,95.0,9,16,11,Sunday
108,Bhopal,2025-11-16 09:07:48.593702+05:30,17.0,36.0,3.194444444444444,55.45,50.45,11.15,74.0,9,16,11,Sunday
109,Chennai,2025-11-16 09:07:48.196049+05:30,27.2,84.0,8.38888888888889,41.45,34.35,2.25,116.0,9,16,11,Sunday
110,Dehradun,2025-11-16 09:07:48.631573+05:30,19.2,39.0,1.0,23.35,23.05,31.15,5.0,9,16,11,Sunday
111,Delhi,2025-11-16 09:07:48.193515+05:30,14.3,72.0,2.111111111111111,71.85,66.25,23.35,48.0,9,16,11,Sunday
112,Hyderabad,2025-11-16 09:07:48.185297+05:30,21.1,46.0,2.805555555555556,71.65,67.65,17.75,90.0,9,16,11,Sunday
113,Indore,2025-11-16 09:07:48.433359+05:30,18.1,52.0,4.0,52.55,49.15,14.35,54.0,9,16,11,Sunday
114,Jaipur,2025-11-16 09:07:48.418799+05:30,18.1,45.0,1.1111111111111112,46.45,42.65,27.25,34.0,9,16,11,Sunday
115,Kolkata,2025-11-16 09:07:48.200816+05:30,22.1,65.0,3.3888888888888884,125.65,122.35,22.65,55.0,9,16,11,Sunday
116,Lucknow,2025-11-16 09:07:48.424319+05:30,18.0,73.0,1.1111111111111112,111.95,107.95,32.05,30.0,9,16,11,Sunday
117,Mumbai,2025-11-16 09:07:48.172183+05:30,26.3,39.0,4.111111111111112,61.85,59.55,27.65,74.0,9,16,11,Sunday
118,Patna,2025-11-16 09:07:48.561499+05:30,18.2,60.0,2.5,104.65,96.05,18.65,55.0,9,16,11,Sunday
119,Pune,2025-11-16 09:07:48.510858+05:30,20.3,46.0,3.194444444444444,38.95,37.25,9.05,74.0,9,16,11,Sunday
120,Surat,2025-11-16 09:07:48.624524+05:30,24.0,40.0,4.805555555555555,61.35,59.55,34.95,53.0,9,16,11,Sunday
121,Ahmedabad,2025-11-16 10:16:35.585524+05:30,22.1,38.0,5.388888888888888,31.85,30.15,8.65,82.0,10,16,11,Sunday
122,Bengaluru,2025-11-16 10:16:35.364740+05:30,22.3,78.0,3.194444444444444,52.05,47.95,7.65,97.0,10,16,11,Sunday
123,Bhopal,2025-11-16 10:16:35.791116+05:30,19.3,35.0,3.5,55.75,51.15,10.65,75.0,10,16,11,Sunday
124,Chennai,2025-11-16 10:16:35.352694+05:30,27.3,84.0,8.5,40.55,33.65,2.55,116.0,10,16,11,Sunday
