id,city,timestamp,temperature,humidity,wind_speed,pm10,pm2_5,nitrogen_dioxide,ozone
1,Ahmedabad,2025-11-15 18:46:38.567400+00:00,20.2,46.0,3.5,35.85,34.75,26.85,72.0
2,Bengaluru,2025-11-15 18:46:38.376559+00:00,20.2,88.0,2.888888888888889,44.85,43.15,36.95,53.0
3,Bhopal,2025-11-15 18:46:38.737303+00:00,18.0,28.0,2.0,56.95,50.35,20.45,76.0
4,Chennai,2025-11-15 18:46:38.355079+00:00,27.0,84.0,5.611111111111111,59.25,50.05,8.05,113.0
5,Dehradun,2025-11-15 18:46:38.785387+00:00,11.4,55.0,2.1944444444444446,53.05,51.85,34.55,105.0
6,Delhi,2025-11-15 18:46:38.371701+00:00,16.3,68.0,1.8055555555555556,84.45,70.95,63.65,45.0
7,Hyderabad,2025-11-15 18:46:38.360206+00:00,18.2,68.0,1.3888888888888888,54.05,51.85,36.05,71.0
8,Indore,2025-11-15 18:46:38.658841+00:00,16.0,55.0,1.6944444444444442,49.05,46.35,29.25,66.0
9,Jaipur,2025-11-15 18:46:38.576009+00:00,16.1,42.0,1.8055555555555556,56.95,53.95,57.15,34.0
10,Kolkata,2025-11-15 18:46:38.368360+00:00,22.3,69.0,3.194444444444444,141.05,136.85,47.45,74.0
11,Lucknow,2025-11-15 18:46:38.595162+00:00,14.4,94.0,1.3055555555555556,120.05,113.55,51.25,57.0
12,Mumbai,2025-11-15 18:46:38.339761+00:00,26.3,51.0,2.388888888888889,68.65,65.15,20.05,230.0
13,Patna,2025-11-15 18:46:38.601339+00:00,16.0,68.0,2.305555555555556,95.35,87.95,40.45,57.0
14,Pune,2025-11-15 18:46:38.533828+00:00,17.1,49.0,1.6944444444444442,57.65,55.05,47.75,70.0
15,Surat,2025-11-15 18:46:38.760518+00:00,21.0,45.0,3.5,73.95,71.35,40.25,79.0
16,Ahmedabad,2025-11-15 19:38:55.292705+00:00,20.3,43.0,3.5,35.85,34.75,26.85,72.0
17,Bengaluru,2025-11-15 19:38:55.130109+00:00,20.2,88.0,2.888888888888889,44.85,43.15,36.95,53.0
18,Bhopal,2025-11-15 19:38:55.514945+00:00,18.1,28.0,2.0,56.95,50.35,20.45,76.0
19,Chennai,2025-11-15 19:38:55.154035+00:00,27.0,84.0,5.611111111111111,59.25,50.05,8.05,113.0
20,Dehradun,2025-11-15 19:38:55.556854+00:00,11.4,55.0,2.1944444444444446,53.05,51.85,34.55,105.0
21,Delhi,2025-11-15 19:38:55.112473+00:00,15.3,72.0,1.8055555555555556,84.45,70.95,63.65,45.0
22,Hyderabad,2025-11-15 19:38:55.168748+00:00,18.2,68.0,1.3888888888888888,54.05,51.85,36.05,71.0
23,Indore,2025-11-15 19:38:55.362091+00:00,16.3,55.0,1.6944444444444442,49.05,46.35,29.25,66.0
24,Jaipur,2025-11-15 19:38:55.363290+00:00,16.4,45.0,1.8055555555555556,56.95,53.95,57.15,34.0
25,Kolkata,2025-11-15 19:38:55.135630+00:00,22.2,69.0,3.194444444444444,141.05,136.85,47.45,74.0
26,Lucknow,2025-11-15 19:38:55.317446+00:00,13.3,100.0,1.3055555555555556,120.05,113.55,51.25,57.0
27,Mumbai,2025-11-15 19:38:55.101320+00:00,25.2,51.0,2.388888888888889,68.65,65.15,20.05,230.0
28,Patna,2025-11-15 19:38:55.632396+00:00,17.4,63.0,2.305555555555556,95.35,87.95,40.45,57.0
29,Pune,2025-11-15 19:38:56.308568+00:00,17.1,49.0,1.6944444444444442,57.65,55.05,47.75,70.0
30,Surat,2025-11-15 19:38:55.503824+00:00,21.0,45.0,3.5,73.95,71.35,40.25,79.0
31,Ahmedabad,2025-11-15 20:40:50.909442+00:00,19.4,49.0,3.6944444444444446,34.85,33.65,24.65,71.0
32,Bengaluru,2025-11-15 20:40:50.771397+00:00,19.3,94.0,2.888888888888889,45.65,43.65,33.15,55.0
33,Bhopal,2025-11-15 20:40:51.084496+00:00,14.7,35.0,2.111111111111111,58.45,51.65,20.55,73.0
34,Chennai,2025-11-15 20:40:50.805972+00:00,26.1,89.0,5.5,58.85,49.95,7.35,114.0
35,Dehradun,2025-11-15 20:40:51.211491+00:00,11.2,55.0,2.111111111111111,54.45,53.35,38.45,87.0
36,Delhi,2025-11-15 20:40:50.710975+00:00,14.2,77.0,2.0,83.95,69.55,58.05,43.0
37,Hyderabad,2025-11-15 20:40:50.768484+00:00,16.2,82.0,1.3888888888888888,55.35,52.85,36.55,66.0
38,Indore,2025-11-15 20:40:50.990732+00:00,15.6,49.0,2.111111111111111,50.75,47.85,28.65,61.0
39,Jaipur,2025-11-15 20:40:50.989373+00:00,15.1,44.0,1.6944444444444442,57.75,54.95,56.55,29.0
40,Kolkata,2025-11-15 20:40:50.763512+00:00,21.4,73.0,3.194444444444444,147.55,143.35,47.35,64.0
41,Lucknow,2025-11-15 20:40:50.969002+00:00,12.3,100.0,1.5,131.25,124.75,56.85,41.0
42,Mumbai,2025-11-15 20:40:50.703812+00:00,25.0,51.0,2.8055555555555554,67.25,63.25,19.55,205.0
43,Patna,2025-11-15 20:40:50.984395+00:00,15.0,77.0,2.388888888888889,96.35,89.05,37.75,54.0
44,Pune,2025-11-15 20:40:50.886881+00:00,16.6,51.0,1.5,57.05,54.75,43.65,66.0
45,Surat,2025-11-15 20:40:51.086738+00:00,20.5,46.0,3.8055555555555554,71.15,68.85,38.65,75.0
46,Ahmedabad,2025-11-15 21:38:44.028594+00:00,19.2,46.0,3.888888888888889,33.45,32.25,20.15,75.0
47,Bengaluru,2025-11-15 21:38:43.849004+00:00,19.2,88.0,3.1111111111111107,46.35,44.25,26.35,63.0
48,Bhopal,2025-11-15 21:38:44.202051+00:00,12.0,54.0,2.111111111111111,59.15,52.05,19.45,73.0
49,Chennai,2025-11-15 21:38:43.823209+00:00,26.1,89.0,5.611111111111111,56.25,47.85,6.25,116.0
50,Dehradun,2025-11-15 21:38:44.233994+00:00,11.0,54.0,2.1944444444444446,53.75,52.65,41.45,67.0
51,Delhi,2025-11-15 21:38:43.814705+00:00,14.1,77.0,1.8055555555555556,83.25,68.85,49.15,47.0
52,Hyderabad,2025-11-15 21:38:43.820668+00:00,16.2,77.0,1.5,57.85,55.05,35.05,67.0
53,Indore,2025-11-15 21:38:44.066062+00:00,15.2,51.0,2.388888888888889,52.15,49.05,26.05,59.0
54,Jaipur,2025-11-15 21:38:44.052762+00:00,15.2,44.0,1.8055555555555556,56.95,54.45,51.05,30.0
55,Kolkata,2025-11-15 21:38:43.817298+00:00,20.1,78.0,3.194444444444444,149.35,145.25,45.15,57.0
56,Lucknow,2025-11-15 21:38:44.416747+00:00,12.1,100.0,1.611111111111111,138.25,131.75,60.75,29.0
57,Mumbai,2025-11-15 21:38:43.844003+00:00,24.1,57.0,3.1111111111111107,66.75,62.75,19.75,174.0
58,Patna,2025-11-15 21:38:44.076455+00:00,15.1,77.0,2.388888888888889,96.75,89.35,33.05,55.0
59,Pune,2025-11-15 21:38:44.050263+00:00,16.2,53.0,1.3888888888888888,52.85,50.95,33.55,71.0
60,Surat,2025-11-15 21:38:44.238175+00:00,20.0,47.0,3.8055555555555554,69.35,66.95,36.15,74.0
61,Ahmedabad,2025-11-15 22:40:23.721268+00:00,18.4,49.0,3.888888888888889,31.85,30.65,16.15,79.0
62,Bengaluru,2025-11-15 22:40:23.446432+00:00,19.3,88.0,2.888888888888889,47.15,44.75,20.15,71.0
63,Bhopal,2025-11-15 22:40:23.832066+00:00,12.1,54.0,2.1944444444444446,58.55,51.65,17.95,73.0
64,Chennai,2025-11-15 22:40:23.466705+00:00,26.0,89.0,5.611111111111111,51.95,44.15,5.15,117.0
65,Dehradun,2025-11-15 22:40:23.889997+00:00,10.9,52.0,2.1944444444444446,49.95,49.15,42.85,50.0
66,Delhi,2025-11-15 22:40:23.468632+00:00,14.3,77.0,1.3888888888888888,81.15,67.95,41.15,50.0
67,Hyderabad,2025-11-15 22:40:23.472215+00:00,15.0,82.0,1.5,60.95,57.85,32.75,69.0
68,Indore,2025-11-15 22:40:23.716922+00:00,14.2,55.0,2.5,52.15,48.95,23.35,58.0
69,Jaipur,2025-11-15 22:40:23.683291+00:00,14.1,47.0,1.8055555555555556,55.05,52.45,45.35,32.0
70,Kolkata,2025-11-15 22:40:23.489510+00:00,20.2,78.0,3.194444444444444,147.95,143.85,41.85,54.0
71,Lucknow,2025-11-15 22:40:23.718536+00:00,12.3,100.0,1.5,138.65,132.65,61.35,22.0
72,Mumbai,2025-11-15 22:40:23.475969+00:00,23.1,61.0,2.0,61.85,58.55,17.35,119.0
73,Patna,2025-11-15 22:40:23.690702+00:00,15.3,77.0,2.388888888888889,96.55,88.65,28.65,56.0
74,Pune,2025-11-15 22:40:23.648022+00:00,16.0,54.0,1.611111111111111,47.95,46.05,24.55,76.0
75,Surat,2025-11-15 22:40:23.885871+00:00,19.7,48.0,3.611111111111111,67.45,65.15,34.05,72.0
76,Ahmedabad,2025-11-15 23:39:18.265422+00:00,17.1,52.0,4.111111111111112,30.15,28.95,13.35,81.0
77,Bengaluru,2025-11-15 23:39:18.036121+00:00,18.3,94.0,3.3055555555555554,48.55,45.65,15.45,78.0
78,Bhopal,2025-11-15 23:39:18.483032+00:00,13.6,36.0,2.305555555555556,57.55,50.75,16.35,73.0
79,Chennai,2025-11-15 23:39:18.069799+00:00,26.3,84.0,6.111111111111111,47.55,40.45,4.15,118.0
80,Dehradun,2025-11-15 23:39:18.516746+00:00,10.7,51.0,2.1944444444444446,44.15,43.55,41.85,36.0
81,Delhi,2025-11-15 23:39:18.062177+00:00,13.4,82.0,1.5,78.85,66.95,35.05,51.0
82,Hyderabad,2025-11-15 23:39:18.041175+00:00,15.1,82.0,2.0,63.45,60.25,29.65,72.0
83,Indore,2025-11-15 23:39:18.336927+00:00,14.3,55.0,2.694444444444444,51.45,47.85,20.95,56.0
84,Jaipur,2025-11-15 23:39:18.304007+00:00,13.3,54.0,1.611111111111111,52.65,49.95,40.75,32.0
85,Kolkata,2025-11-15 23:39:18.065757+00:00,19.4,83.0,3.194444444444444,145.65,141.45,36.95,54.0
86,Lucknow,2025-11-15 23:39:18.322990+00:00,12.3,94.0,1.3055555555555556,133.55,127.95,56.45,22.0
87,Mumbai,2025-11-15 23:39:18.066990+00:00,24.3,50.0,3.611111111111111,69.75,66.55,21.95,125.0
88,Patna,2025-11-15 23:39:18.321977+00:00,15.2,82.0,2.388888888888889,97.75,89.35,25.35,57.0
89,Pune,2025-11-15 23:39:18.277547+00:00,15.6,55.0,1.8055555555555556,44.25,42.25,18.65,79.0
90,Surat,2025-11-15 23:39:18.503776+00:00,19.5,49.0,3.611111111111111,65.55,63.25,32.95,68.0
91,Ahmedabad,2025-11-16 02:26:03.998696+00:00,16.3,55.0,4.194444444444445,29.85,28.45,9.15,84.0
92,Bengaluru,2025-11-16 02:26:03.786667+00:00,18.3,94.0,3.5,51.75,48.15,8.35,90.0
93,Bhopal,2025-11-16 02:26:04.118667+00:00,11.4,54.0,2.388888888888889,56.15,50.05,12.85,74.0
94,Chennai,2025-11-16 02:26:03.809671+00:00,26.4,89.0,6.805555555555555,43.15,36.05,2.55,118.0
95,Dehradun,2025-11-16 02:26:04.213428+00:00,13.0,51.0,2.0,32.05,31.85,36.55,15.0
96,Delhi,2025-11-16 02:26:03.738499+00:00,12.1,88.0,1.6944444444444442,74.65,66.55,25.95,52.0
97,Hyderabad,2025-11-16 02:26:03.773826+00:00,16.1,77.0,1.8888888888888888,68.35,64.65,22.35,81.0
98,Indore,2025-11-16 02:26:04.030995+00:00,13.1,67.0,3.0,51.85,48.25,16.35,54.0
99,Jaipur,2025-11-16 02:26:04.008607+00:00,14.4,47.0,1.1111111111111112,49.15,46.05,32.05,34.0
100,Kolkata,2025-11-16 02:26:03.789086+00:00,20.2,78.0,3.3055555555555554,134.95,131.25,26.15,60.0
101,Lucknow,2025-11-16 02:26:04.020377+00:00,13.2,88.0,1.5,119.55,114.75,40.85,30.0
