2025-11-12 05:43:00 [INFO] 🌦️ Hourly weather fetch script started (IST).
2025-11-12 05:43:01 [INFO] Fetched data for Bengaluru at 2025-11-12 11:13:01.561369+05:30.
2025-11-12 05:43:01 [INFO] Fetched data for Mumbai at 2025-11-12 11:13:01.562422+05:30.
2025-11-12 05:43:01 [INFO] Fetched data for Delhi at 2025-11-12 11:13:01.566594+05:30.
2025-11-12 05:43:01 [INFO] Fetched data for Chennai at 2025-11-12 11:13:01.569021+05:30.
2025-11-12 05:43:01 [INFO] Fetched data for Kolkata at 2025-11-12 11:13:01.571035+05:30.
2025-11-12 05:43:01 [INFO] Fetched data for Hyderabad at 2025-11-12 11:13:01.580628+05:30.
2025-11-12 05:43:02 [INFO] Fetched data for Lucknow at 2025-11-12 11:13:02.707145+05:30.
2025-11-12 05:43:02 [INFO] Fetched data for Jaipur at 2025-11-12 11:13:02.710010+05:30.
2025-11-12 05:43:02 [INFO] Fetched data for Chandigarh at 2025-11-12 11:13:02.712094+05:30.
2025-11-12 05:43:02 [INFO] Fetched data for Patna at 2025-11-12 11:13:02.723141+05:30.
2025-11-12 05:43:02 [INFO] Fetched data for Gandhinagar at 2025-11-12 11:13:02.747965+05:30.
2025-11-12 05:43:02 [INFO] Fetched data for Bhopal at 2025-11-12 11:13:02.750452+05:30.
2025-11-12 05:43:03 [INFO] Fetched data for Thiruvananthapuram at 2025-11-12 11:13:03.865537+05:30.
2025-11-12 05:43:03 [INFO] Fetched data for Dispur at 2025-11-12 11:13:03.873180+05:30.
2025-11-12 05:43:03 [INFO] Fetched data for Bhubaneswar at 2025-11-12 11:13:03.879108+05:30.
2025-11-12 05:43:03 [INFO] Fetched data for Imphal at 2025-11-12 11:13:03.895182+05:30.
2025-11-12 05:43:03 [INFO] Fetched data for Aizawl at 2025-11-12 11:13:03.909917+05:30.
2025-11-12 05:43:03 [INFO] Fetched data for Agartala at 2025-11-12 11:13:03.914213+05:30.
2025-11-12 05:43:05 [INFO] Fetched data for Gangtok at 2025-11-12 11:13:05.029185+05:30.
2025-11-12 05:43:05 [INFO] Fetched data for Kohima at 2025-11-12 11:13:05.032962+05:30.
2025-11-12 05:43:05 [INFO] Fetched data for Shillong at 2025-11-12 11:13:05.035367+05:30.
2025-11-12 05:43:05 [INFO] Fetched data for Itanagar at 2025-11-12 11:13:05.061928+05:30.
2025-11-12 05:43:05 [INFO] Fetched data for Dehradun at 2025-11-12 11:13:05.082461+05:30.
2025-11-12 05:43:05 [INFO] Fetched data for Raipur at 2025-11-12 11:13:05.093907+05:30.
2025-11-12 05:43:06 [INFO] Fetched data for Ranchi at 2025-11-12 11:13:06.176304+05:30.
2025-11-12 05:43:06 [INFO] Fetched data for Panaji at 2025-11-12 11:13:06.203353+05:30.
2025-11-12 05:43:06 [INFO] Fetched data for Kavaratti at 2025-11-12 11:13:06.229177+05:30.
2025-11-12 05:43:06 [INFO] Fetched data for Puducherry at 2025-11-12 11:13:06.230629+05:30.
2025-11-12 05:43:06 [INFO] Fetched data for Port Blair at 2025-11-12 11:13:06.253807+05:30.
2025-11-12 05:43:06 [INFO] Fetched data for Srinagar at 2025-11-12 11:13:06.275692+05:30.
2025-11-12 05:43:07 [INFO] Fetched data for Leh at 2025-11-12 11:13:07.324696+05:30.
2025-11-12 05:43:09 [INFO] Inserted 31 records successfully at 2025-11-12 11:13:09.600371+05:30 (IST).
2025-11-12 05:43:09 [INFO] Script completed successfully (IST).
